ts,revenue,weeknum,month,season,holiday
2011-02-21,10541.35,1,2,1,0
2011-02-22,12031.92,2,2,1,0
2011-02-23,11256.8,3,2,1,0
2011-02-24,11983.35,4,2,1,0
2011-02-25,12957.84,5,2,1,0
2011-02-26,1,6,2,1,1
2011-02-27,1,7,2,1,1
2011-02-28,15304.1,1,2,1,0
2011-03-01,15710.4,2,3,1,0
2011-03-02,17142.2,3,3,1,0
2011-03-03,15794,4,3,1,0
2011-03-04,14313.85,5,3,1,0
2011-03-05,1,6,3,1,1
2011-03-06,1,7,3,1,1
2011-03-07,15619.02,1,3,1,0
2011-03-08,16458.39,2,3,1,0
2011-03-09,15890.32,3,3,1,0
2011-03-10,16798.47,4,3,1,0
2011-03-11,15593.46,5,3,1,0
2011-03-12,1,6,3,1,1
2011-03-13,1,7,3,1,1
2011-03-14,15597.67,1,3,1,0
2011-03-15,16806.61,2,3,1,0
2011-03-16,18626.02,3,3,1,0
2011-03-17,17250.34,4,3,1,0
2011-03-18,17000.92,5,3,1,0
2011-03-19,1,6,3,1,1
2011-03-20,1,7,3,1,1
2011-03-21,22031.04,1,3,1,0
2011-03-22,22643.61,2,3,1,0
2011-03-23,22388.25,3,3,1,0
2011-03-24,21099.29,4,3,1,0
2011-03-25,20575.64,5,3,1,0
2011-03-26,1,6,3,1,1
2011-03-27,1,7,3,1,1
2011-03-28,22112.88,1,3,1,0
2011-03-29,22026.36,2,3,1,0
2011-03-30,21267.68,3,3,1,0
2011-03-31,1,4,3,1,1
2011-04-01,1,5,4,2,1
2011-04-02,1,6,4,2,1
2011-04-03,1,7,4,2,1
2011-04-04,1,1,4,2,1
2011-04-05,1,2,4,2,1
2011-04-06,25878.83,3,4,2,0
2011-04-07,29930.02,4,4,2,0
2011-04-08,28451.22,5,4,2,0
2011-04-09,1,6,4,2,1
2011-04-10,1,7,4,2,1
2011-04-11,30406.9,1,4,2,0
2011-04-12,29337.9,2,4,2,0
2011-04-13,31962.44,3,4,2,0
2011-04-14,29456.33,4,4,2,0
2011-04-15,29429.52,5,4,2,0
2011-04-16,1,6,4,2,1
2011-04-17,1,7,4,2,1
2011-04-18,32375.71,1,4,2,0
2011-04-19,29941.71,2,4,2,0
2011-04-20,31037.15,3,4,2,0
2011-04-21,30886.34,4,4,2,0
2011-04-22,27422.54,5,4,2,0
2011-04-23,1,6,4,2,1
2011-04-24,1,7,4,2,1
2011-04-25,34043.84,1,4,2,0
2011-04-26,31402.04,2,4,2,0
2011-04-27,31447.92,3,4,2,0
2011-04-28,29018.06,4,4,2,0
2011-04-29,25721.54,5,4,2,0
2011-04-30,1,6,4,2,1
2011-05-01,1,7,5,2,1
2011-05-02,1,1,5,2,1
2011-05-03,28663.34,2,5,2,0
2011-05-04,31728.59,3,5,2,0
2011-05-05,31736.58,4,5,2,0
2011-05-06,30624.77,5,5,2,0
2011-05-07,1,6,5,2,1
2011-05-08,1,7,5,2,1
2011-05-09,32616.54,1,5,2,0
2011-05-10,33802.61,2,5,2,0
2011-05-11,31907.83,3,5,2,0
2011-05-12,33554.55,4,5,2,0
2011-05-13,25911.13,5,5,2,0
2011-05-14,1,6,5,2,1
2011-05-15,1,7,5,2,1
2011-05-16,32642.91,1,5,2,0
2011-05-17,33086.06,2,5,2,0
2011-05-18,32581.8,3,5,2,0
2011-05-19,31986.08,4,5,2,0
2011-05-20,30248.58,5,5,2,0
2011-05-21,1,6,5,2,1
2011-05-22,1,7,5,2,1
2011-05-23,32834.35,1,5,2,0
2011-05-24,35667.8,2,5,2,0
2011-05-25,33750.97,3,5,2,0
2011-05-26,34281.34,4,5,2,0
2011-05-27,31437.77,5,5,2,0
2011-05-28,1,6,5,2,1
2011-05-29,1,7,5,2,1
2011-05-30,32908.17,1,5,2,0
2011-05-31,31168.44,2,5,2,0
2011-06-01,33225.28,3,6,2,0
2011-06-02,32221.45,4,6,2,0
2011-06-03,30953.71,5,6,2,0
2011-06-04,1,6,6,2,1
2011-06-05,1,7,6,2,1
2011-06-06,1,1,6,2,1
2011-06-07,31723.52,2,6,2,0
2011-06-08,32022.28,3,6,2,0
2011-06-09,31877.55,4,6,2,0
2011-06-10,30158.47,5,6,2,0
2011-06-11,1,6,6,2,1
2011-06-12,1,7,6,2,1
2011-06-13,31344.73,1,6,2,0
2011-06-14,34636.58,2,6,2,0
2011-06-15,37039.66,3,6,2,0
2011-06-16,33926.91,4,6,2,0
2011-06-17,31878.19,5,6,2,0
2011-06-18,1,6,6,2,1
2011-06-19,1,7,6,2,1
2011-06-20,34371.48,1,6,2,0
2011-06-21,37286.96,2,6,2,0
2011-06-22,35690.54,3,6,2,0
2011-06-23,37982.51,4,6,2,0
2011-06-24,27922.52,5,6,2,0
2011-06-25,1,6,6,2,1
2011-06-26,1,7,6,2,1
2011-06-27,32742.79,1,6,2,0
2011-06-28,35299.92,2,6,2,0
2011-06-29,35969.56,3,6,2,0
2011-06-30,35847.48,4,6,2,0
2011-07-01,32532.04,5,7,3,0
2011-07-02,1,6,7,3,1
2011-07-03,1,7,7,3,1
2011-07-04,33114.2,1,7,3,0
2011-07-05,32907.47,2,7,3,0
2011-07-06,38558.02,3,7,3,0
2011-07-07,37930.29,4,7,3,0
2011-07-08,35141.29,5,7,3,0
2011-07-09,1,6,7,3,1
2011-07-10,1,7,7,3,1
2011-07-11,36964.6,1,7,3,0
2011-07-12,40075.21,2,7,3,0
2011-07-13,38470.96,3,7,3,0
2011-07-14,37454.44,4,7,3,0
2011-07-15,35119.45,5,7,3,0
2011-07-16,1,6,7,3,1
2011-07-17,1,7,7,3,1
2011-07-18,36709.99,1,7,3,0
2011-07-19,39397.2,2,7,3,0
2011-07-20,38743.89,3,7,3,0
2011-07-21,38639.05,4,7,3,0
2011-07-22,35589.94,5,7,3,0
2011-07-23,1,6,7,3,1
2011-07-24,1,7,7,3,1
2011-07-25,38463.95,1,7,3,0
2011-07-26,36758.26,2,7,3,0
2011-07-27,38536.22,3,7,3,0
2011-07-28,40245.83,4,7,3,0
2011-07-29,39440.38,5,7,3,0
